zipCode,prem2018,prem2022,premChange,premPctChange,lossRatio,claimFreq,claimSev,nonRenew,nonPay
28420,1039.12,1012.42,-26.69,-2.57,0.32,0.03,13055,0.01,0
27407,1103,1229.52,126.52,11.47,0.51,0.06,10671,0.03,0
28449,1040.83,1192.94,152.11,14.61,0.17,0.03,15082,0.01,0
28480,2453.72,2779.18,325.46,13.26,0.3,0.04,29424,0.01,0
27529,1285.65,1437.23,151.58,11.79,1.17,0.12,13316,0.02,0
28147,1146.71,1229.11,82.4,7.19,0.56,0.06,12399,0.02,0
27048,1020.42,1094.48,74.06,7.26,0.39,0.05,10194,0.01,0
27568,1165.8,1238.64,72.84,6.25,0.22,0.04,6774,0.01,0
28041,1143.43,1224.85,81.42,7.12,0.44,0.05,12009,0.01,0
28716,1067.23,1150.84,83.6,7.83,0.38,0.04,11841,0.01,0
28443,934.65,1062.91,128.26,13.72,0.61,0.06,15621,0.01,0
28585,1203.37,1222.48,19.11,1.59,0.79,0.08,15371,0.02,0
27291,1451.98,1411.24,-40.73,-2.81,0.16,0.03,7751,0.01,0
28743,1296.54,1400.26,103.72,8,0.08,0.01,7426,0.01,0
27941,1106.04,1255.57,149.53,13.52,3.8,0.03,185078,0.03,0
27897,1337.66,1363.9,26.24,1.96,0.32,0.07,7528,0.02,0
28739,1324.49,1446.61,122.12,9.22,0.49,0.04,17010,0.01,0
27806,1141.87,1146.15,4.28,0.37,0.1,0.04,4655,0.02,0
28472,1910.06,1898.5,-11.55,-0.6,0.58,0.1,13604,0.01,0
27212,1256.38,1295.1,38.72,3.08,0.66,0.05,20326,0.01,0
27379,1126.51,1186.53,60.03,5.33,0.34,0.05,8717,0.01,0
28906,1145.39,1200.48,55.09,4.81,0.33,0.02,20043,0.01,0
27839,1274.56,1508.13,233.57,18.33,0.76,0.09,10658,0.02,0
27817,1427.84,1345.02,-82.82,-5.8,0.24,0.04,11325,0.01,0
28621,1065.28,1165.74,100.46,9.43,0.29,0.04,9284,0.01,0
28766,1005.6,1217.4,211.8,21.06,0.26,0.03,8806,0.01,0
28623,1107.84,1197.62,89.78,8.1,0.2,0.03,8151,0.01,0
28705,1071.33,1151.74,80.4,7.51,0.21,0.02,10328,0.01,0
28315,1303.16,1335.81,32.65,2.51,0.5,0.1,10831,0.02,0
28736,1979.17,2173.92,194.76,9.84,0.24,0.02,27505,0,0
28707,1134.64,1330.91,196.27,17.3,0.17,0.03,6929,0.01,0
28337,1585.78,1617.04,31.26,1.97,0.78,0.12,12012,0.02,0
28020,1058.66,1020.58,-38.08,-3.6,0.54,0.04,15140,0.01,0
28394,1578.1,1594.94,16.84,1.07,0.44,0.1,10756,0.02,0
27974,1119.94,1240.76,120.82,10.79,0.17,0.03,7380,0.02,0
28373,1157.52,1249.35,91.82,7.93,0.36,0.08,7779,0.01,0
28768,1225.83,1340.13,114.31,9.32,0.5,0.04,16991,0.01,0
28167,1280.44,1314.93,34.49,2.69,0.3,0.04,13000,0.01,0
28018,1200.11,1171.56,-28.56,-2.38,0.49,0.04,15494,0.01,0
27957,2116.81,2216.52,99.71,4.71,0.15,0.04,9141,0.02,0
28644,1223.26,1275.26,52,4.25,0.26,0.03,13939,0.02,0
28718,1105.37,1221.63,116.26,10.52,0.27,0.04,8874,0,0
28654,1144.39,1242.18,97.79,8.55,0.38,0.04,12107,0.01,0
28626,1308.79,1394.72,85.93,6.57,0.23,0.03,13671,0.01,0
28528,970.82,883.73,-87.09,-8.97,0.26,0.06,8425,0.02,0
27582,1151.26,1137.15,-14.11,-1.23,0.46,0.04,12977,0.01,0
28363,1498.16,1468.14,-30.02,-2,0.26,0.08,6528,0.02,0
27954,1050.26,1292.97,242.71,23.11,0.31,0.02,17371,0.04,0
27943,1015.24,1291.78,276.55,27.24,0.19,0.03,11214,0.01,0
28077,871.14,969.73,98.59,11.32,1.46,0.08,34018,0.03,0
28343,1270.22,1381.7,111.48,8.78,0.64,0.1,9965,0.01,0
27295,1053.69,1140.87,87.17,8.27,0.44,0.05,11817,0.01,0
28625,1057.62,1190,132.38,12.52,0.5,0.06,10698,0.02,0
27545,1198.15,1383.18,185.03,15.44,0.55,0.07,11379,0.03,0
27265,1120.79,1230.77,109.98,9.81,0.54,0.06,11202,0.02,0
28678,984.22,1134.25,150.03,15.24,0.52,0.06,10348,0.02,0
28479,821.56,1036.15,214.59,26.12,0.41,0.05,12503,0.01,0
27253,981.42,1088.1,106.68,10.87,0.44,0.05,9838,0.01,0
28104,1613.84,1760.28,146.45,9.07,0.6,0.07,15977,0.03,0
28761,1235.14,1299.48,64.34,5.21,0.39,0.04,14754,0.01,0
28642,914.28,968.67,54.39,5.95,0.53,0.06,9609,0.01,0
27617,1479.77,1660.63,180.86,12.22,0.69,0.07,16331,0.02,0
27519,1539.17,1700.4,161.22,10.47,0.82,0.1,14595,0.02,0
28203,1905.85,2089.34,183.49,9.63,0.49,0.05,23535,0.02,0
27830,1426.6,1539.68,113.08,7.93,1.23,0.13,12735,0.04,0
28574,1057.08,1178.14,121.06,11.45,0.53,0.09,12670,0.02,0
28546,1003.91,1055.84,51.93,5.17,0.7,0.1,13174,0.02,0
28206,1015.79,1158.27,142.47,14.03,0.54,0.06,10951,0.04,0
28333,1325.82,1443.21,117.39,8.85,0.39,0.07,9035,0.02,0
28513,1490.74,1586.96,96.22,6.45,0.4,0.06,12843,0.02,0
28312,1712.83,1844.6,131.77,7.69,0.53,0.1,13452,0.03,0
27837,1591.71,1647.65,55.94,3.51,0.27,0.05,9537,0.01,0
27878,1062.3,1165.23,102.94,9.69,0.62,0.07,8436,0.01,0
27829,1491.65,1493.91,2.26,0.15,0.34,0.06,9500,0.01,0
28715,1098.29,1190.66,92.37,8.41,0.34,0.03,12478,0.01,0
28395,1538.95,1672.13,133.18,8.65,0.51,0.1,9497,0.02,0
27050,1106.74,1149.36,42.62,3.85,0.39,0.05,11210,0.02,0
27886,1294.02,1406.53,112.52,8.7,0.6,0.07,13085,0.01,0
27572,1330.87,1424.29,93.41,7.02,0.43,0.05,12018,0.01,0
28753,1302.5,1383.88,81.38,6.25,0.13,0.02,8826,0.01,0
27009,1186.65,1280.7,94.06,7.93,0.51,0.06,11319,0.01,0
